syscall number,syscall,%rax,%rdi,%rsi,%rdx,%rcx,%r8,%r9
0,sys_read,0x0,unsigned int fd,char *buf,size_t count,,,
1,sys_write,0x1,unsigned int fd,const char *buf,size_t count,,,
2,sys_open,0x2,const char *filename,int flags,int mode,,,
3,sys_close,0x3,unsigned int fd,,,,,
4,sys_stat,0x4,const char *filename,struct stat *statbuf,,,,
5,sys_fstat,0x5,unsigned int fd,struct stat *statbuf,,,,
6,sys_lstat,0x6,fconst char *filename,struct stat *statbuf,,,,
7,sys_poll,0x7,struct poll_fd *ufds,unsigned int nfds,long timeout_msecs,,,
8,sys_lseek,0x8,unsigned int fd,off_t offset,unsigned int origin,,,
9,sys_mmap,0x9,unsigned long addr,unsigned long len,unsigned long prot,unsigned long flags,unsigned long fd,unsigned long off
10,sys_mprotect,0xA,unsigned long start,size_t len,unsigned long prot,,,
11,sys_munmap,0xB,unsigned long addr,size_t len,,,,
12,sys_brk,0xC,unsigned long brk,,,,,
13,sys_rt_sigaction,0xD,int sig,const struct sigaction *act,struct sigaction *oact,size_t sigsetsize,,
14,sys_rt_sigprocmask,0xE,int how,sigset_t *nset,sigset_t *oset,size_t sigsetsize,,
15,sys_rt_sigreturn,0xF,unsigned long __unused,,,,,
16,sys_ioctl,0x10,unsigned int fd,unsigned int cmd,unsigned long arg,,,
17,sys_pread64,0x11,unsigned long fd,char *buf,size_t count,loff_t pos,,
18,sys_pwrite64,0x12,unsigned int fd,const char *buf,size_t count,loff_t pos,,
19,sys_readv,0x13,unsigned long fd,const struct iovec *vec,unsigned long vlen,,,
20,sys_writev,0x14,unsigned long fd,const struct iovec *vec,unsigned long vlen,,,
21,sys_access,0x15,const char *filename,int mode,,,,
22,sys_pipe,0x16,int *filedes,,,,,
23,sys_select,0x17,int n,fd_set *inp,fd_set *outp,fd_set*exp,struct timeval *tvp,
24,sys_sched_yield,0x18,,,,,,
25,sys_mremap,0x19,unsigned long addr,unsigned long old_len,unsigned long new_len,unsigned long flags,unsigned long new_addr,
26,sys_msync,0x1A,unsigned long start,size_t len,int flags,,,
27,sys_mincore,0x1B,unsigned long start,size_t len,unsigned char *vec,,,
28,sys_madvise,0x1C,unsigned long start,size_t len_in,int behavior,,,
29,sys_shmget,0x1D,key_t key,size_t size,int shmflg,,,
30,sys_shmat,0x1E,int shmid,char *shmaddr,int shmflg,,,
31,sys_shmctl,0x1F,int shmid,int cmd,struct shmid_ds *buf,,,
32,sys_dup,0x20,unsigned int fildes,,,,,
33,sys_dup2,0x21,unsigned int oldfd,unsigned int newfd,,,,
34,sys_pause,0x22,,,,,,
35,sys_nanosleep,0x23,struct timespec *rqtp,struct timespec *rmtp,,,,
36,sys_getitimer,0x24,int which,struct itimerval *value,,,,
37,sys_alarm,0x25,unsigned int seconds,,,,,
38,sys_setitimer,0x26,int which,struct itimerval *value,struct itimerval *ovalue,,,
39,sys_getpid,0x27,,,,,,
40,sys_sendfile,0x28,int out_fd,int in_fd,off_t *offset,size_t count,,
41,sys_socket,0x29,int family,int type,int protocol,,,
42,sys_connect,0x2A,int fd,struct sockaddr *uservaddr,int addrlen,,,
43,sys_accept,0x2B,int fd,struct sockaddr *upeer_sockaddr,int *upeer_addrlen,,,
44,sys_sendto,0x2C,int fd,void *buff,size_t len,unsigned flags,struct sockaddr *addr,int addr_len
45,sys_recvfrom,0x2D,int fd,void *ubuf,size_t size,unsigned flags,struct sockaddr *addr,int *addr_len
46,sys_sendmsg,0x2E,int fd,struct msghdr *msg,unsigned flags,,,
47,sys_recvmsg,0x2F,int fd,struct msghdr *msg,unsigned int flags,,,
48,sys_shutdown,0x30,int fd,int how,,,,
49,sys_bind,0x31,int fd,struct sokaddr *umyaddr,int addrlen,,,
50,sys_listen,0x32,int fd,int backlog,,,,
51,sys_getsockname,0x33,int fd,struct sockaddr *usockaddr,int *usockaddr_len,,,
52,sys_getpeername,0x34,int fd,struct sockaddr *usockaddr,int *usockaddr_len,,,
53,sys_socketpair,0x35,int family,int type,int protocol,int *usockvec,,
54,sys_setsockopt,0x36,int fd,int level,int optname,char *optval,int optlen,
55,sys_getsockopt,0x37,int fd,int level,int optname,char *optval,int *optlen,
56,sys_clone,0x38,unsigned long clone_flags,unsigned long newsp,void *parent_tid,void *child_tid,,
57,sys_fork,0x39,,,,,,
58,sys_vfork,0x3A,,,,,,
59,sys_execve,0x3B,const char *filename,const char *const argv[],const char *const envp[],,,
60,sys_exit,0x3C,int error_code,,,,,
61,sys_wait4,0x3D,pid_t upid,int *stat_addr,int options,struct rusage *ru,,
62,sys_kill,0x3E,pid_t pid,int sig,,,,
63,sys_uname,0x3F,struct old_utsname *name,,,,,
64,sys_semget,0x40,key_t key,int nsems,int semflg,,,
65,sys_semop,0x41,int semid,struct sembuf *tsops,unsigned nsops,,,
66,sys_semctl,0x42,int semid,int semnum,int cmd,union semun arg,,
67,sys_shmdt,0x43,char *shmaddr,,,,,
68,sys_msgget,0x44,key_t key,int msgflg,,,,
69,sys_msgsnd,0x45,int msqid,struct msgbuf *msgp,size_t msgsz,int msgflg,,
70,sys_msgrcv,0x46,int msqid,struct msgbuf *msgp,size_t msgsz,long msgtyp,int msgflg,
71,sys_msgctl,0x47,int msqid,int cmd,struct msqid_ds *buf,,,
72,sys_fcntl,0x48,unsigned int fd,unsigned int cmd,unsigned long arg,,,
73,sys_flock,0x49,unsigned int fd,unsigned int cmd,,,,
74,sys_fsync,0x4A,unsigned int fd,,,,,
75,sys_fdatasync,0x4B,unsigned int fd,,,,,
76,sys_truncate,0x4C,const char *path,long length,,,,
77,sys_ftruncate,0x4D,unsigned int fd,unsigned long length,,,,
78,sys_getdents,0x4E,unsigned int fd,struct linux_dirent *dirent,unsigned int count,,,
79,sys_getcwd,0x4F,char *buf,unsigned long size,,,,
